target,year,rank,neighbour,cosine_sim
material,2023,9,waste,0.3465
material,2023,10,impacts,0.3452
material,2023,11,reuse,0.3209
material,2023,12,digital,0.3207
material,2024,1,construction,0.5597
material,2024,2,labor,0.4207
material,2024,3,fabrication,0.4021
material,2024,4,concept,0.3952
material,2024,5,performance,0.3833
material,2024,6,impacts,0.3634
material,2024,7,waste,0.3381
material,2024,8,virginia,0.329
material,2024,9,embodied,0.3201
material,2024,10,large,0.3183
material,2024,11,timber,0.3139
material,2024,12,application,0.3131
material,2025,1,waste,0.3799
material,2025,2,testing,0.3709
material,2025,3,library,0.3524
material,2025,4,alternative,0.3354
material,2025,5,thermal,0.314
material,2025,6,fabrication,0.3137
material,2025,7,materials,0.3022
material,2025,8,ground,0.2938
material,2025,9,cycle,0.2915
material,2025,10,engaged,0.2907
material,2025,11,speculative,0.2883
material,2025,12,colonial,0.2819
material,2026,1,waste,0.4751
material,2026,2,environmental,0.4614
material,2026,3,labor,0.4491
material,2026,4,ecologies,0.4374
material,2026,5,fabrication,0.415
material,2026,6,construction,0.4138
material,2026,7,architectural,0.4053
material,2026,8,reuse,0.3986
material,2026,9,agency,0.3874
material,2026,10,extraction,0.3749
material,2026,11,systems,0.3698
material,2026,12,exploring,0.3663
critical,2020,1,change,0.3625
critical,2020,2,approach,0.3608
critical,2020,3,mapping,0.3598
critical,2020,4,environmental,0.3583
critical,2020,5,design,0.3487
critical,2020,6,identify,0.3456
critical,2020,7,contemporary,0.3425
critical,2020,8,issues,0.3399
critical,2020,9,knowledge,0.3347
critical,2020,10,scholarship,0.3335
critical,2020,11,inform,0.3315
critical,2020,12,assessment,0.3228
critical,2021,1,thinking,0.3734
critical,2021,2,inquiry,0.3618
critical,2021,3,engage,0.3607
critical,2021,4,provides,0.3603
critical,2021,5,following,0.3342
critical,2021,6,maps,0.3333
critical,2021,7,engaged,0.3251
critical,2021,8,florida,0.325
critical,2021,9,discipline,0.3232
critical,2021,10,perspectives,0.3218
critical,2021,11,home,0.3186
critical,2021,12,experts,0.3171
critical,2022,1,play,0.3726
critical,2022,2,migration,0.3632
critical,2022,3,regions,0.3447
critical,2022,4,organizations,0.3319
critical,2022,5,ground,0.3152
critical,2022,6,coastal,0.3152
critical,2022,7,narrative,0.3113
critical,2022,8,concerns,0.3111
critical,2022,9,resilience,0.3103
critical,2022,10,lens,0.3056
critical,2022,11,short,0.299
critical,2022,12,representation,0.2981
critical,2023,1,experts,0.3467
critical,2023,2,short,0.3176
critical,2023,3,vision,0.3133
critical,2023,4,societal,0.3037
critical,2023,5,teaches,0.3008
critical,2023,6,building,0.2971
critical,2023,7,industrial,0.2949
critical,2023,8,san,0.2933
critical,2023,9,engaging,0.2892
critical,2023,10,production,0.2883
critical,2023,11,play,0.2864
critical,2023,12,lens,0.285
critical,2024,1,required,0.3539
critical,2024,2,scholarship,0.349
critical,2024,3,perspectives,0.3489
critical,2024,4,thinking,0.3298
critical,2024,5,resource,0.3292
critical,2024,6,inquiry,0.3167
critical,2024,7,alternative,0.3152
critical,2024,8,architectural,0.3151
critical,2024,9,ecology,0.3107
critical,2024,10,able,0.3086
critical,2024,11,critically,0.3075
critical,2024,12,humanities,0.3061
critical,2025,1,problem,0.3579
critical,2025,2,thinking,0.3392
critical,2025,3,perspective,0.3195
critical,2025,4,addressing,0.3158
critical,2025,5,engaging,0.3076
critical,2025,6,mapping,0.3047
critical,2025,7,territory,0.3036
critical,2025,8,examine,0.2881
critical,2025,9,planet,0.2791
critical,2025,10,power,0.2766
critical,2025,11,growth,0.2754
critical,2025,12,designing,0.2739
critical,2026,1,inquiry,0.5089
critical,2026,2,architectural,0.4133
critical,2026,3,ethical,0.3832
critical,2026,4,disciplinary,0.3814
critical,2026,5,environmental,0.3526
critical,2026,6,anthropocene,0.3438
