target,year,rank,neighbour,cosine_sim
representation,2023,12,drawing,0.3024
representation,2024,1,techniques,0.3832
representation,2024,2,workshops,0.3638
representation,2024,3,speculative,0.3461
representation,2024,4,designers,0.3459
representation,2024,5,environmental,0.3396
representation,2024,6,required,0.335
representation,2024,7,oklahoma,0.333
representation,2024,8,technical,0.3296
representation,2024,9,components,0.321
representation,2024,10,visual,0.3166
representation,2024,11,narrative,0.309
representation,2024,12,miami,0.3081
representation,2025,1,teaches,0.4235
representation,2025,2,territory,0.3928
representation,2025,3,component,0.3801
representation,2025,4,west,0.3768
representation,2025,5,home,0.3697
representation,2025,6,organized,0.3645
representation,2025,7,technical,0.3501
representation,2025,8,drawing,0.3474
representation,2025,9,prior,0.3431
representation,2025,10,library,0.3406
representation,2025,11,media,0.3371
representation,2025,12,narratives,0.3356
representation,2026,1,teaches,0.3902
representation,2026,2,digital,0.3678
representation,2026,3,perspective,0.3448
representation,2026,4,architectural,0.3401
representation,2026,5,advanced,0.3398
representation,2026,6,necessary,0.3383
representation,2026,7,technologies,0.3362
representation,2026,8,history,0.331
representation,2026,9,disciplines,0.3306
representation,2026,10,means,0.33
representation,2026,11,aims,0.3269
representation,2026,12,mapping,0.3265
human,2020,1,species,0.4144
human,2020,2,virtual,0.3892
human,2020,3,anthropocene,0.3883
human,2020,4,nature,0.3605
human,2020,5,comfort,0.3568
human,2020,6,migration,0.3567
human,2020,7,technological,0.3375
human,2020,8,contexts,0.3291
human,2020,9,networks,0.3153
human,2020,10,sciences,0.3152
human,2020,11,component,0.3152
human,2020,12,social,0.3081
human,2021,1,political,0.3871
human,2021,2,design,0.372
human,2021,3,built,0.3526
human,2021,4,experiences,0.3499
human,2021,5,integrate,0.3433
human,2021,6,environments,0.3425
human,2021,7,climate,0.3332
human,2021,8,environmental,0.3236
human,2021,9,earth,0.3235
human,2021,10,next,0.3166
human,2021,11,change,0.3153
human,2021,12,health,0.3145
human,2022,1,anthropocene,0.4577
human,2022,2,inquiry,0.429
human,2022,3,decisions,0.3821
human,2022,4,health,0.3594
human,2022,5,nature,0.3477
human,2022,6,comfort,0.3386
human,2022,7,species,0.3386
human,2022,8,planet,0.3322
human,2022,9,technological,0.3237
human,2022,10,intersection,0.3199
human,2022,11,perspective,0.3187
human,2022,12,vulnerable,0.3165
human,2023,1,adaptation,0.3777
human,2023,2,extraction,0.3687
human,2023,3,inquiry,0.3572
human,2023,4,scientific,0.3441
human,2023,5,thermal,0.3416
human,2023,6,indigenous,0.3361
human,2023,7,resource,0.335
human,2023,8,park,0.3217
human,2023,9,planet,0.3197
human,2023,10,session,0.3175
human,2023,11,interior,0.2998
human,2023,12,representation,0.2992
human,2024,1,species,0.3708
human,2024,2,vulnerable,0.3499
human,2024,3,health,0.3401
human,2024,4,scenarios,0.3361
human,2024,5,primary,0.2892
human,2024,6,assessment,0.2877
human,2024,7,scales,0.2871
human,2024,8,play,0.2867
human,2024,9,designing,0.2864
human,2024,10,planet,0.2852
human,2024,11,anthropocene,0.2846
human,2024,12,integration,0.2831
human,2025,1,vulnerable,0.3507
human,2025,2,session,0.3486
human,2025,3,contexts,0.3275
human,2025,4,extraction,0.3176
human,2025,5,indigenous,0.3165
human,2025,6,species,0.314
human,2025,7,tool,0.3106
human,2025,8,important,0.3082
human,2025,9,necessary,0.3062
human,2025,10,play,0.2996
human,2025,11,anthropocene,0.297
human,2025,12,components,0.2933
human,2026,1,houston,0.4055
human,2026,2,health,0.4018
human,2026,3,equity,0.3983
human,2026,4,migration,0.3771
human,2026,5,experience,0.3432
human,2026,6,environmental,0.3371
human,2026,7,goals,0.3341
human,2026,8,needs,0.3316
human,2026,9,climate,0.3303
human,2026,10,begin,0.3273
human,2026,11,social,0.3214
human,2026,12,creating,0.3203
ethics,2020,1,ethical,0.3944
ethics,2020,2,engaging,0.3598
ethics,2020,3,integrate,0.336
ethics,2020,4,performance,0.3348
ethics,2020,5,futures,0.3341
ethics,2020,6,analyze,0.3323
ethics,2020,7,service,0.3317
ethics,2020,8,action,0.3082
ethics,2020,9,equity,0.3071
ethics,2020,10,principles,0.3067
ethics,2020,11,vernacular,0.3049
ethics,2020,12,practice,0.2996
ethics,2021,1,environmental,0.4471
ethics,2021,2,practice,0.4237
ethics,2021,3,risk,0.3418
ethics,2021,4,engaging,0.3347
ethics,2021,5,environment,0.3314
ethics,2021,6,excellence,0.3282
ethics,2021,7,profession,0.3244
ethics,2021,8,applied,0.3226
ethics,2021,9,frameworks,0.3156
